filename,algo_type,loop_counter,command,end_of_command,accum
dbfs:/FileStore/graph_45M.txt,min,0,start,2021-03-17 11:55:47.945849,0
dbfs:/FileStore/graph_45M.txt,min,1,it_map,2021-03-17 11:56:06.518366,0
dbfs:/FileStore/graph_45M.txt,min,1,it_groupby,2021-03-17 11:56:44.491047,0
dbfs:/FileStore/graph_45M.txt,min,1,it_reduce,2021-03-17 11:57:01.627344,5657463
dbfs:/FileStore/graph_45M.txt,min,1,ded_map,2021-03-17 11:57:26.195507,11314926
dbfs:/FileStore/graph_45M.txt,min,1,ded_groupby,2021-03-17 12:01:36.179405,16972389
dbfs:/FileStore/graph_45M.txt,min,1,ded_reduce,2021-03-17 12:03:15.438463,16972389
dbfs:/FileStore/graph_45M.txt,min,2,it_map,2021-03-17 12:05:03.235543,0
dbfs:/FileStore/graph_45M.txt,min,2,it_groupby,2021-03-17 12:07:26.569406,0
dbfs:/FileStore/graph_45M.txt,min,2,it_reduce,2021-03-17 12:07:47.999336,11199257
dbfs:/FileStore/graph_45M.txt,min,2,ded_map,2021-03-17 12:08:24.407591,22398514
dbfs:/FileStore/graph_45M.txt,min,2,ded_groupby,2021-03-17 12:15:09.537816,33597771
dbfs:/FileStore/graph_45M.txt,min,2,ded_reduce,2021-03-17 12:17:45.579450,33597771
dbfs:/FileStore/graph_45M.txt,min,3,it_map,2021-03-17 12:20:38.089517,0
dbfs:/FileStore/graph_45M.txt,min,3,it_groupby,2021-03-17 12:25:26.020007,0
dbfs:/FileStore/graph_45M.txt,min,3,it_reduce,2021-03-17 12:26:17.682383,22239178
dbfs:/FileStore/graph_45M.txt,min,3,ded_map,2021-03-17 12:27:38.600615,44478356
dbfs:/FileStore/graph_45M.txt,min,3,ded_groupby,2021-03-17 12:39:03.866575,66717534
dbfs:/FileStore/graph_45M.txt,min,3,ded_reduce,2021-03-17 12:42:55.746008,66717534
dbfs:/FileStore/graph_45M.txt,min,4,it_map,2021-03-17 12:47:05.145963,0
dbfs:/FileStore/graph_45M.txt,min,4,it_groupby,2021-03-17 12:53:20.437387,0
dbfs:/FileStore/graph_45M.txt,min,4,it_reduce,2021-03-17 12:54:18.155612,31059014
dbfs:/FileStore/graph_45M.txt,min,4,ded_map,2021-03-17 12:55:59.167318,62118028
dbfs:/FileStore/graph_45M.txt,min,4,ded_groupby,2021-03-17 12:58:14.474245,93177042
dbfs:/FileStore/graph_45M.txt,min,4,ded_reduce,2021-03-17 12:58:25.646308,93177042
dbfs:/FileStore/graph_45M.txt,min,5,it_map,2021-03-17 12:58:36.644745,0
dbfs:/FileStore/graph_45M.txt,min,5,it_groupby,2021-03-17 12:58:57.632819,0
dbfs:/FileStore/graph_45M.txt,min,5,it_reduce,2021-03-17 12:59:07.202574,1080632
dbfs:/FileStore/graph_45M.txt,min,5,ded_map,2021-03-17 12:59:18.450707,2161264
dbfs:/FileStore/graph_45M.txt,min,5,ded_groupby,2021-03-17 12:59:45.084967,3241896
dbfs:/FileStore/graph_45M.txt,min,5,ded_reduce,2021-03-17 12:59:48.787334,3241896
dbfs:/FileStore/graph_45M.txt,min,6,it_map,2021-03-17 12:59:53.277720,0
dbfs:/FileStore/graph_45M.txt,min,6,it_groupby,2021-03-17 13:00:06.361778,0
dbfs:/FileStore/graph_45M.txt,min,6,it_reduce,2021-03-17 13:00:16.029073,0
dbfs:/FileStore/graph_45M.txt,min,6,ded_map,2021-03-17 13:00:25.765355,0
dbfs:/FileStore/graph_45M.txt,min,6,ded_groupby,2021-03-17 13:00:47.848643,0
dbfs:/FileStore/graph_45M.txt,min,6,ded_reduce,2021-03-17 13:00:51.353815,0
